#Base,Mean,Median,Lower Quartile,Upper Quartile,10th Percentile,90th Percentile,ID
6,36.50923475227754,38.0,37.0,38.0,34.0,38.0,SRR25023302_2_val_2_fastqc_2
7,36.63246227563072,38.0,37.0,38.0,34.0,38.0,SRR25023302_2_val_2_fastqc_2
8,36.36518344930184,38.0,37.0,38.0,34.0,38.0,SRR25023302_2_val_2_fastqc_2
9,36.48405628595054,38.0,37.0,38.0,34.0,38.0,SRR25023302_2_val_2_fastqc_2
10-14,36.71253073737195,38.0,37.0,38.0,34.0,38.0,SRR25023302_2_val_2_fastqc_2
15-19,36.70329129098768,38.0,37.0,38.0,34.4,38.0,SRR25023302_2_val_2_fastqc_2
20-24,36.69618983847458,38.0,37.0,38.0,34.2,38.0,SRR25023302_2_val_2_fastqc_2
25-29,36.54610745672203,38.0,37.0,38.0,34.0,38.0,SRR25023302_2_val_2_fastqc_2
30-34,36.45442200137117,38.0,37.0,38.0,34.0,38.0,SRR25023302_2_val_2_fastqc_2
35-39,36.38856703564317,38.0,37.0,38.0,34.0,38.0,SRR25023302_2_val_2_fastqc_2
40-44,36.351320509691845,38.0,37.0,38.0,34.0,38.0,SRR25023302_2_val_2_fastqc_2
45-49,36.14709747123246,38.0,37.0,38.0,34.0,38.0,SRR25023302_2_val_2_fastqc_2
50-54,35.97463554928496,38.0,37.0,38.0,33.0,38.0,SRR25023302_2_val_2_fastqc_2
55-59,36.02442271373986,38.0,37.0,38.0,33.2,38.0,SRR25023302_2_val_2_fastqc_2
60-64,35.93571609115078,38.0,37.0,38.0,32.4,38.0,SRR25023302_2_val_2_fastqc_2
65-69,35.89528438291626,38.0,37.0,38.0,32.0,38.0,SRR25023302_2_val_2_fastqc_2
70-74,35.79032395310666,38.0,36.8,38.0,31.6,38.0,SRR25023302_2_val_2_fastqc_2
75-79,35.69663931119776,38.0,36.4,38.0,31.2,38.0,SRR25023302_2_val_2_fastqc_2
80-84,35.40525522241391,38.0,36.0,38.0,30.2,38.0,SRR25023302_2_val_2_fastqc_2
85-89,35.45270354437632,38.0,36.0,38.0,30.2,38.0,SRR25023302_2_val_2_fastqc_2
90-94,35.49992977093736,38.0,36.0,38.0,30.2,38.0,SRR25023302_2_val_2_fastqc_2
95-99,35.22162399804045,37.8,36.0,38.0,28.6,38.0,SRR25023302_2_val_2_fastqc_2
100-104,35.35249996903764,38.0,36.0,38.0,29.6,38.0,SRR25023302_2_val_2_fastqc_2
105-109,35.2735243902446,38.0,36.0,38.0,28.8,38.0,SRR25023302_2_val_2_fastqc_2
110-114,35.13264523810827,37.2,36.0,38.0,28.0,38.0,SRR25023302_2_val_2_fastqc_2
115-119,34.84854223363695,37.0,35.0,38.0,27.0,38.0,SRR25023302_2_val_2_fastqc_2
120-124,35.10946380402176,37.0,35.8,38.0,28.0,38.0,SRR25023302_2_val_2_fastqc_2
125-129,34.854342701210115,37.0,35.0,38.0,27.0,38.0,SRR25023302_2_val_2_fastqc_2
130-134,34.48804866331982,37.0,34.4,38.0,25.4,38.0,SRR25023302_2_val_2_fastqc_2
135-139,35.01597046423293,37.0,35.4,38.0,27.6,38.0,SRR25023302_2_val_2_fastqc_2
140-144,34.66418886333873,37.0,35.0,38.0,26.0,38.0,SRR25023302_2_val_2_fastqc_2
145-149,34.727995671821326,37.0,34.6,38.0,26.6,38.0,SRR25023302_2_val_2_fastqc_2
150-154,34.56787406329007,37.0,34.6,38.0,26.4,38.0,SRR25023302_2_val_2_fastqc_2
155-159,34.49516077508796,37.0,34.4,38.0,25.6,38.0,SRR25023302_2_val_2_fastqc_2
160-164,34.82578641296551,37.0,34.8,38.0,26.8,38.0,SRR25023302_2_val_2_fastqc_2
165-169,34.68272364168533,37.0,34.6,38.0,27.0,38.0,SRR25023302_2_val_2_fastqc_2
170-174,34.6997306537486,37.0,34.8,38.0,26.8,38.0,SRR25023302_2_val_2_fastqc_2
175-179,34.83157138714231,37.0,34.8,38.0,27.6,38.0,SRR25023302_2_val_2_fastqc_2
180-184,34.27641161554332,37.0,34.2,38.0,25.4,38.0,SRR25023302_2_val_2_fastqc_2
185-189,33.82791241211177,37.0,34.0,38.0,23.8,38.0,SRR25023302_2_val_2_fastqc_2
190-194,33.96415464733987,37.0,34.0,38.0,23.8,38.0,SRR25023302_2_val_2_fastqc_2
195-199,33.5610001421752,37.0,33.8,38.0,23.0,38.0,SRR25023302_2_val_2_fastqc_2
200-204,32.44850792089759,35.8,30.4,37.8,21.2,38.0,SRR25023302_2_val_2_fastqc_2
205-209,29.93101993982351,33.8,24.6,36.8,12.0,38.0,SRR25023302_2_val_2_fastqc_2
210-214,30.27637021823985,33.8,25.8,36.8,15.2,38.0,SRR25023302_2_val_2_fastqc_2
215-219,31.689977480240493,35.6,28.8,37.6,18.2,38.0,SRR25023302_2_val_2_fastqc_2
