#Base,Mean,Median,Lower Quartile,Upper Quartile,10th Percentile,90th Percentile,ID
60-64,36.21631667437132,38.0,37.0,38.0,33.8,"38.0
",SRR25023040_1_val_1_fastqc_1
65-69,36.24339740686008,38.0,37.0,38.0,34.0,"38.0
",SRR25023040_1_val_1_fastqc_1
70-74,36.098523487325615,38.0,37.0,38.0,33.6,"38.0
",SRR25023040_1_val_1_fastqc_1
75-79,36.12387838115702,38.0,37.0,38.0,33.2,"38.0
",SRR25023040_1_val_1_fastqc_1
80-84,36.0386611253758,38.0,37.0,38.0,32.6,"38.0
",SRR25023040_1_val_1_fastqc_1
85-89,36.12596953396858,38.0,37.0,38.0,32.6,"38.0
",SRR25023040_1_val_1_fastqc_1
90-94,36.071427131508486,38.0,37.0,38.0,32.2,"38.0
",SRR25023040_1_val_1_fastqc_1
95-99,35.9949816897525,38.0,37.0,38.0,32.0,"38.0
",SRR25023040_1_val_1_fastqc_1
100-104,35.92642423421457,38.0,36.8,38.0,31.8,"38.0
",SRR25023040_1_val_1_fastqc_1
105-109,35.83379970875041,38.0,36.8,38.0,31.4,"38.0
",SRR25023040_1_val_1_fastqc_1
110-114,35.87796380859653,38.0,37.0,38.0,31.8,"38.0
",SRR25023040_1_val_1_fastqc_1
115-119,35.75630722919353,38.0,36.0,38.0,31.0,"38.0
",SRR25023040_1_val_1_fastqc_1
120-124,35.87879278631933,38.0,36.8,38.0,31.8,"38.0
",SRR25023040_1_val_1_fastqc_1
125-129,35.82162168892796,38.0,36.8,38.0,31.6,"38.0
",SRR25023040_1_val_1_fastqc_1
130-134,35.84991187609491,38.0,36.4,38.0,31.4,"38.0
",SRR25023040_1_val_1_fastqc_1
135-139,35.5809210872998,38.0,36.2,38.0,30.0,"38.0
",SRR25023040_1_val_1_fastqc_1
140-144,35.81098094935868,38.0,36.0,38.0,31.4,"38.0
",SRR25023040_1_val_1_fastqc_1
145-149,35.57722863781741,38.0,36.0,38.0,30.4,"38.0
",SRR25023040_1_val_1_fastqc_1
150-154,35.770758783664924,38.0,36.0,38.0,31.4,"38.0
",SRR25023040_1_val_1_fastqc_1
155-159,35.89692714038067,38.0,36.0,38.0,31.6,"38.0
",SRR25023040_1_val_1_fastqc_1
160-164,35.793096238224734,38.0,36.0,38.0,31.0,"38.0
",SRR25023040_1_val_1_fastqc_1
165-169,35.79362800582811,38.0,36.0,38.0,31.0,"38.0
",SRR25023040_1_val_1_fastqc_1
170-174,35.739921030082016,38.0,35.8,38.0,31.2,"38.0
",SRR25023040_1_val_1_fastqc_1
175-179,35.77364398543709,38.0,35.8,38.0,31.4,"38.0
",SRR25023040_1_val_1_fastqc_1
180-184,35.60702762130114,38.0,35.4,38.0,30.6,"38.0
",SRR25023040_1_val_1_fastqc_1
185-189,35.05748699726883,37.6,35.0,38.0,28.0,"38.0
",SRR25023040_1_val_1_fastqc_1
190-194,35.1026855093516,37.0,35.0,38.0,28.4,"38.0
",SRR25023040_1_val_1_fastqc_1
195-199,35.27187369509041,37.6,35.4,38.0,29.4,"38.0
",SRR25023040_1_val_1_fastqc_1
200-204,35.27047598394596,37.8,35.4,38.0,29.4,"38.0
",SRR25023040_1_val_1_fastqc_1
205-209,34.639077872053576,37.6,35.0,38.0,26.0,"38.0
",SRR25023040_1_val_1_fastqc_1
210-214,35.21368512864132,37.6,34.8,38.0,29.2,"38.0
",SRR25023040_1_val_1_fastqc_1
215-219,35.19185209885767,37.0,35.0,38.0,29.6,"38.0
",SRR25023040_1_val_1_fastqc_1
